Month,Week in Month,Global Week,Sales (pcs),Event Name,Defect Rate,Recovery Rate,Crack Share,Total Produced,Total Defects,Cracked,Fat Bloom,Good Tablea,Reprocessed,Net Usable Output
June,2,22,"7,200",Resellers/Wedding/Baptism,2.90%,64.00%,51.00%,"7,276",211,108,103,"7,065",135,"7,200"
June,3,23,"10,500",Resellers/Coffee Shops,3.10%,65.00%,52.00%,"10,615",329,171,158,"10,286",214,"10,500"
June,4,24,"8,400",Resellers/Coffee Shops,2.70%,59.00%,50.00%,"8,494",229,115,114,"8,265",135,"8,400"
July,1,25,"8,200",Resellers,2.70%,62.00%,52.00%,"8,285",224,116,108,"8,061",139,"8,200"
July,2,26,"9,500",Resellers/Coffee Shops,3.10%,66.00%,48.00%,"9,601",298,143,155,"9,303",197,"9,500"
July,3,27,"8,200",Resellers/Wedding,2.90%,60.00%,55.00%,"8,296",241,133,108,"8,055",145,"8,200"
July,4,28,"7,800",Resellers,3.30%,68.00%,50.00%,"7,883",260,130,130,"7,623",177,"7,800"
August,1,29,"4,200",Resellers/Coffee Shops,2.80%,63.00%,53.00%,"4,244",119,63,56,"4,125",75,"4,200"
August,2,30,"3,400",Resellers,3.40%,70.00%,47.00%,"3,435",117,55,62,"3,318",82,"3,400"
August,3,31,"2,800",Resellers,3.00%,61.00%,56.00%,"2,833",85,48,37,"2,748",52,"2,800"
August,4,32,"5,200",Resellers/Coffee Shops,2.60%,58.00%,49.00%,"5,257",137,67,70,"5,120",79,"5,199"
September,1,33,"7,800",Resellers/Coffee Shops,3.20%,67.00%,54.00%,"7,883",252,136,116,"7,631",169,"7,800"
September,2,34,"10,200",Resellers/Coffee Shops,2.90%,64.00%,51.00%,"10,308",299,152,147,"10,009",191,"10,200"
September,3,35,"12,400",Resellers/Wedding/Baptism/Reunion,3.10%,65.00%,52.00%,"12,536",389,202,187,"12,147",253,"12,400"
September,4,36,"11,100",Resellers/Wedding,2.70%,59.00%,50.00%,"11,224",303,152,151,"10,921",179,"11,100"
October,1,37,"10,500",Resellers/Coffee Shops,2.70%,62.00%,52.00%,"10,609",286,149,137,"10,323",177,"10,500"
October,2,38,"12,800",Resellers/Wedding,3.10%,66.00%,48.00%,"12,936",401,192,209,"12,535",265,"12,800"
October,3,39,"14,200",Resellers/Coffee Shops,2.90%,60.00%,55.00%,"14,367",417,229,188,"13,950",250,"14,200"
October,4,40,"16,400",Resellers/Christmas Giveaway/Wedding,3.30%,68.00%,50.00%,"16,575",547,274,273,"16,028",372,"16,400"
November,1,41,"18,400",Resellers/Christmas Giveaway/Wedding,2.80%,63.00%,53.00%,"18,593",521,276,245,"18,072",328,"18,400"
November,2,42,"16,100",Resellers/Christmas Giveaway/Wedding,3.40%,70.00%,47.00%,"16,266",553,260,293,"15,713",387,"16,100"
November,3,43,"19,500",Resellers/Coffee Shops/Christmas Giveaways,3.00%,61.00%,56.00%,"19,731",592,332,260,"19,139",361,"19,500"
November,4,44,"14,200",Resellers/Christmas Giveaway/Wedding,2.60%,58.00%,49.00%,"14,357",373,183,190,"13,984",216,"14,200"
December,1,45,"22,200",Resellers/Christmas Giveaway/Wedding,3.20%,67.00%,54.00%,"22,437",718,388,330,"21,719",481,"22,200"
December,2,46,"26,400",Resellers/Christmas Giveaway/Wedding,2.90%,64.00%,51.00%,"26,679",774,395,379,"25,905",495,"26,400"
December,3,47,"18,100",Resellers/Christmas Giveaway/Coffee Shops,3.10%,65.00%,52.00%,"18,299",567,295,272,"17,732",369,"18,101"
December,4,48,"14,500",Resellers/Christmas Giveaway/Wedding,2.70%,59.00%,50.00%,"14,662",396,198,198,"14,266",234,"14,500"
