Month,Week in Month,Global Week,Sales (pcs),Event Name,Defect Rate,Recovery Rate,Crack Share,Total Produced,Total Defects,Cracked,Fat Bloom,Good Tablea,Reprocessed,Net Usable Output
July,3,27,"16,000",Resellers,2.90%,60.00%,55.00%,"16,188",469,258,211,"15,719",281,"16,000"
July,4,28,"15,000",Resellers,3.30%,68.00%,50.00%,"15,160",500,250,250,"14,660",340,"15,000"
August,1,29,"12,000",Resellers,2.80%,63.00%,53.00%,"12,126",340,180,160,"11,786",214,"12,000"
August,2,30,"10,000",Resellers,3.40%,70.00%,47.00%,"10,103",344,162,182,"9,759",241,"10,000"
August,3,31,"15,000",Resellers/Coffee Shops,3.00%,61.00%,56.00%,"15,178",455,255,200,"14,723",278,"15,001"
August,4,32,"13,000",Pasalubong Centers,2.60%,58.00%,49.00%,"13,144",342,168,174,"12,802",198,"13,000"
September,1,33,"28,000",Resellers,3.20%,67.00%,54.00%,"28,299",906,489,417,"27,393",607,"28,000"
September,2,34,"20,000",Company Giveaway/Resellers,2.90%,64.00%,51.00%,"20,211",586,299,287,"19,625",375,"20,000"
September,3,35,"36,000",Resellers,3.10%,65.00%,52.00%,"36,395","1,128",587,541,"35,267",733,"36,000"
September,4,36,"15,000",Resellers/Pasalubong Center,2.70%,59.00%,50.00%,"15,168",410,205,205,"14,758",242,"15,000"
October,1,37,"34,000",Resellers/Coffee Shops,2.70%,62.00%,52.00%,"34,352",928,483,445,"33,424",575,"33,999"
October,2,38,"30,000",Company Giveaway/Resellers,3.10%,66.00%,48.00%,"30,320",940,451,489,"29,380",620,"30,000"
October,3,39,"25,000",Company Giveaway/Resellers/Wedding,2.90%,60.00%,55.00%,"25,293",733,403,330,"24,560",440,"25,000"
October,4,40,"27,000",Resellers/Coffee Shops/Wedding,3.30%,68.00%,50.00%,"27,288",901,451,450,"26,387",613,"27,000"
November,1,41,"25,000",Christmas Giveaways/Resellers/Coffee Shops,2.80%,63.00%,53.00%,"25,262",707,375,332,"24,555",445,"25,000"
November,2,42,"50,000",Christmas Giveaways/Resellers/Coffee Shops,3.40%,70.00%,47.00%,"50,515","1,718",807,911,"48,797","1,203","50,000"
November,3,43,"35,000",Christmas Giveaways/Resellers/Coffee Shops,3.00%,61.00%,56.00%,"35,414","1,062",595,467,"34,352",648,"35,000"
November,4,44,"60,000",Christmas Giveaways/Resellers/Coffee Shops,2.60%,58.00%,49.00%,"60,662","1,577",773,804,"59,085",915,"60,000"
December,1,45,"75,000",Christmas Giveaways/Resellers/Coffee Shops,3.20%,67.00%,54.00%,"75,800","2,426","1,310","1,116","73,374","1,625","74,999"
December,2,46,"90,000",Christmas Giveaways/Resellers/Coffee Shops,2.90%,64.00%,51.00%,"90,950","2,638","1,345","1,293","88,312","1,688","90,000"
December,3,47,"85,000",Christmas Giveaways/Resellers/Coffee Shops,3.10%,65.00%,52.00%,"85,932","2,664","1,385","1,279","83,268","1,732","85,000"
December,4,48,"65,000",Christmas Giveaways/Resellers/Coffee Shops,2.70%,59.00%,50.00%,"65,728","1,775",888,887,"63,953","1,047","65,000"
