Month,Week in Month,Global Week,Sales (pcs),Event Name,Defect Rate,Recovery Rate,Crack Share,Total Produced,Total Defects,Cracked,Fat Bloom,Good Tablea,Reprocessed,Net Usable Output
September,1,33,"14,000",Resellers/Coffee Shops,3.20%,67.00%,54.00%,"14,149",453,245,208,"13,696",304,"14,000"
September,2,34,"16,000",Resellers/Coffee Shops,2.90%,64.00%,51.00%,"16,169",469,239,230,"15,700",300,"16,000"
September,3,35,"22,000",Resellers/Wedding/Baptism/Reunion,3.10%,65.00%,52.00%,"22,241",689,358,331,"21,552",448,"22,000"
September,4,36,"20,000",Resellers/Wedding,2.70%,59.00%,50.00%,"20,224",546,273,273,"19,678",322,"20,000"
October,1,37,"15,000",Resellers/Coffee Shops,2.70%,62.00%,52.00%,"15,155",409,213,196,"14,746",254,"15,000"
October,2,38,"20,000",Resellers/Wedding,3.10%,66.00%,48.00%,"20,213",627,301,326,"19,586",414,"20,000"
October,3,39,"23,000",Resellers/Coffee Shops,2.90%,60.00%,55.00%,"23,270",675,371,304,"22,595",405,"23,000"
October,4,40,"25,000",Resellers/Christmas Giveaway/Wedding,3.30%,68.00%,50.00%,"25,267",834,417,417,"24,433",567,"25,000"
November,1,41,"35,000",Resellers/Christmas Giveaway/Wedding,2.80%,63.00%,53.00%,"35,366",990,525,465,"34,376",624,"35,000"
November,2,42,"30,000",Resellers/Christmas Giveaway/Wedding,3.40%,70.00%,47.00%,"30,309","1,031",485,546,"29,278",722,"30,000"
November,3,43,"33,000",Resellers/Coffee Shops/Christmas Giveaways,3.00%,61.00%,56.00%,"33,391","1,002",561,441,"32,389",611,"33,000"
November,4,44,"25,000",Resellers/Christmas Giveaway/Wedding,2.60%,58.00%,49.00%,"25,276",657,322,335,"24,619",381,"25,000"
December,1,45,"50,000",Resellers/Christmas Giveaway/Wedding,3.20%,67.00%,54.00%,"50,534","1,617",873,744,"48,917","1,083","50,000"
December,2,46,"65,000",Resellers/Christmas Giveaway/Wedding,2.90%,64.00%,51.00%,"65,686","1,905",972,933,"63,781","1,219","65,000"
December,3,47,"40,000",Resellers/Christmas Giveaway/Coffee Shops,3.10%,65.00%,52.00%,"40,439","1,254",652,602,"39,185",815,"40,000"
December,4,48,"30,000",Resellers/Christmas Giveaway/Wedding,2.70%,59.00%,50.00%,"30,336",819,410,409,"29,517",483,"30,000"
